SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,Mosca,246,7th Grade,Performance Plan,12th Grade,Performance Plan
WILLOW CREEK ELEMENTARY SCHOOL,Centennial,247,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EAGLE RIDGE ELEMENTARY SCHOOL,Lone Tree,248,Kindergarten,Performance Plan,6th Grade,Performance Plan
SILVER CREEK ELEMENTARY,Thornton,249,Kindergarten,Performance Plan,5th Grade,Performance Plan
UNIVERSITY SCHOOLS,Greeley,250,Kindergarten,Performance Plan,12th Grade,Performance Plan
CORONADO ELEMENTARY SCHOOL,Littleton,251,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
WINDSOR HIGH SCHOOL,Windsor,252,9th Grade,Performance Plan,12th Grade,Performance Plan
THE CLASSICAL ACADEMY MIDDLE SCHOOL,Colorado Springs,253,7th Grade,Performance Plan,8th Grade,Performance Plan
MONARCH K-8 SCHOOL,Louisville,254,Kindergarten,Performance Plan,8th Grade,Performance Plan
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,Deer Trail,255,6th Grade,Performance Plan,12th Grade,Performance Plan
ELLICOTT SENIOR HIGH SCHOOL,Ellicott,256,9th Grade,Performance Plan,12th Grade,Performance Plan
EAGLECREST HIGH SCHOOL,Centennial,257,9th Grade,Performance Plan,12th Grade,Performance Plan
SADDLE RANCH ELEMENTARY SCHOOL,Highlands Ranch,258,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MEADOW MOUNTAIN ELEMENTARY SCHOOL,Avon,259,Kindergarten,Performance Plan,5th Grade,Performance Plan
CENTAURI HIGH SCHOOL,La Jara,260,9th Grade,Performance Plan,12th Grade,Performance Plan
STARGATE CHARTER SCHOOL,Thornton,261,Kindergarten,Performance Plan,8th Grade,Performance Plan
SIERRA GRANDE SENIOR HIGH SCHOOL,Blanca,262,9th Grade,Performance Plan,12th Grade,Performance Plan
MERIDIAN ELEMENTARY SCHOOL,Broomfield,263,Kindergarten,Performance Plan,5th Grade,Performance Plan
PALMER HIGH SCHOOL,Colorado Springs,264,9th Grade,Performance Plan,12th Grade,Performance Plan
GOVERNOR'S RANCH ELEMENTARY SCHOOL,Littleton,265,Kindergarten,Performance Plan,6th Grade,Performance Plan
SEMPER ELEMENTARY SCHOOL,Westminster,266,Kindergarten,Performance Plan,6th Grade,Performance Plan
FOWLER HIGH SCHOOL,Fowler,267,9th Grade,Performance Plan,12th Grade,Performance Plan
HOEHNE HIGH SCHOOL,Trinidad,268,9th Grade,Performance Plan,12th Grade,Performance Plan
MANNING OPTIONS SCHOOL,Lakewood,269,7th Grade,Performance Plan,8th Grade,Performance Plan
WEST WOODS ELEMENTARY SCHOOL,Arvada,270,Kindergarten,Performance Plan,6th Grade,Performance Plan
PRAIRIE WINDS ELEMENTARY SCHOOL,Monument,271,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BACON ELEMENTARY SCHOOL,Fort Collins,272,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
THE CONNECT CHARTER SCHOOL,Pueblo,273,6th Grade,Performance Plan,8th Grade,Performance Plan
LONGMONT HIGH SCHOOL,Longmont,274,9th Grade,Performance Plan,12th Grade,Performance Plan
HAYDEN HIGH SCHOOL,Hayden,275,9th Grade,Performance Plan,12th Grade,Performance Plan
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,Golden,276,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
SMOKY HILL HIGH SCHOOL,Aurora,277,9th Grade,Performance Plan,12th Grade,Performance Plan
COLUMBINE HIGH SCHOOL,Littleton,278,9th Grade,Performance Plan,12th Grade,Performance Plan
BENNETT HIGH SCHOOL,Bennett,279,9th Grade,Performance Plan,12th Grade,Performance Plan
ROLLING HILLS ELEMENTARY SCHOOL,Aurora,280,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DOHERTY HIGH SCHOOL,Colorado Springs,281,9th Grade,Performance Plan,12th Grade,Performance Plan
EAST HIGH SCHOOL,Denver,282,9th Grade,Performance Plan,12th Grade,Performance Plan
ARVADA WEST HIGH SCHOOL,Arvada,283,9th Grade,Performance Plan,12th Grade,Performance Plan
LITTLETON HIGH SCHOOL,Littleton,284,9th Grade,Performance Plan,12th Grade,Performance Plan
SILVER CREEK HIGH SCHOOL,Longmont,285,9th Grade,Performance Plan,12th Grade,Performance Plan
LOVELAND HIGH SCHOOL,Loveland,286,9th Grade,Performance Plan,12th Grade,Performance Plan
DENVER SCHOOL OF THE ARTS,Denver,287,6th Grade,Performance Plan,12th Grade,Performance Plan
ACRES GREEN ELEMENTARY SCHOOL,Littleton,288,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
FRANKLIN ELEMENTARY SCHOOL,Centennial,289,Kindergarten,Performance Plan,5th Grade,Performance Plan
HERITAGE ELEMENTARY SCHOOL,Centennial,290,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
YUMA MIDDLE SCHOOL,Yuma,291,7th Grade,Performance Plan,8th Grade,Performance Plan
PRAIRIE HILLS ELEMENTARY SCHOOL,Thornton,292,Kindergarten,Performance Plan,5th Grade,Performance Plan
LUKAS ELEMENTARY SCHOOL,Westminster,293,Kindergarten,Performance Plan,6th Grade,Performance Plan
CREEDE JUNIOR-SENIOR HIGH SCHOOL,Creede,294,7th Grade,Performance Plan,12th Grade,Performance Plan
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,Black Hawk,295,6th Grade,Performance Plan,12th Grade,Performance Plan
MEEKER HIGH SCHOOL,Meeker,296,9th Grade,Performance Plan,12th Grade,Performance Plan
FOX CREEK ELEMENTARY SCHOOL,Highlands Ranch,297,Kindergarten,Performance Plan,6th Grade,Performance Plan
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,New Raymer,298,7th Grade,Performance Plan,12th Grade,Performance Plan
THOMAS JEFFERSON HIGH SCHOOL,Denver,299,9th Grade,Performance Plan,12th Grade,Performance Plan
RAY E KILMER ELEMENTARY SCHOOL,Colorado Springs,300,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PAONIA HIGH SCHOOL,Paonia,301,7th Grade,Performance Plan,12th Grade,Performance Plan
BANNING LEWIS RANCH ACADEMY,Colorado Springs,302,Kindergarten,Performance Plan,8th Grade,Performance Plan
FALCON HIGH SCHOOL,Peyton,303,9th Grade,Performance Plan,12th Grade,Performance Plan
OLATHE HIGH SCHOOL,Olathe,304,9th Grade,Performance Plan,12th Grade,Performance Plan
KING-MURPHY ELEMENTARY SCHOOL,Evergreen,305,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HERITAGE ELEMENTARY SCHOOL,Highlands Ranch,306,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
BASALT ELEMENTARY SCHOOL,Basalt,307,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
HANOVER JUNIOR-SENIOR HIGH SCHOOL,Colorado Springs,308,6th Grade,Performance Plan,12th Grade,Performance Plan
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,Denver,309,7th Grade,Performance Plan,12th Grade,Performance Plan
MOUNTAIN VIEW HIGH SCHOOL,Loveland,310,9th Grade,Performance Plan,12th Grade,Performance Plan
MOUNTAIN RANGE HIGH SCHOOL,Westminster,311,9th Grade,Performance Plan,12th Grade,Performance Plan
MESA ELEMENTARY SCHOOL,Boulder,312,Kindergarten,Performance Plan,5th Grade,Performance Plan
FRISCO ELEMENTARY SCHOOL,Frisco,313,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MONTROSE HIGH SCHOOL,Montrose,314,9th Grade,Performance Plan,12th Grade,Performance Plan
PAONIA ELEMENTARY SCHOOL,Paonia,315,Kindergarten,Performance Plan,6th Grade,Performance Plan
FRED N THOMAS CAREER EDUCATION CENTER,Denver,316,9th Grade,Performance Plan,12th Grade,Performance Plan
IDALIA JUNIOR-SENIOR HIGH SCHOOL,Idalia,317,7th Grade,Performance Plan,12th Grade,Performance Plan
FOOTHILL ELEMENTARY SCHOOL,Boulder,318,Kindergarten,Performance Plan,5th Grade,Performance Plan
BROADMOOR ELEMENTARY SCHOOL,Colorado Springs,319,Kindergarten,Performance Plan,6th Grade,Performance Plan
EDWARDS ELEMENTARY SCHOOL,Edwards,320,Kindergarten,Performance Plan,5th Grade,Performance Plan
NORMANDY ELEMENTARY SCHOOL,Littleton,321,Kindergarten,Performance Plan,6th Grade,Performance Plan
SHELTON ELEMENTARY SCHOOL,Golden,322,Kindergarten,Performance Plan,6th Grade,Performance Plan
PEETZ JUNIOR-SENIOR HIGH SCHOOL,Peetz,323,7th Grade,Performance Plan,12th Grade,Performance Plan
DAKOTA RIDGE SENIOR HIGH SCHOOL,Littleton,324,9th Grade,Performance Plan,12th Grade,Performance Plan
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,Grand Junction,325,Kindergarten,Performance Plan,12th Grade,Performance Plan
FREDERICK SENIOR HIGH SCHOOL,Frederick,326,9th Grade,Performance Plan,12th Grade,Performance Plan
GRAND VALLEY HIGH SCHOOL,Parachute,327,9th Grade,Performance Plan,12th Grade,Performance Plan
ESTES PARK HIGH SCHOOL,Estes Park,328,9th Grade,Performance Plan,12th Grade,Performance Plan
CORONADO HIGH SCHOOL,Colorado Springs,329,9th Grade,Performance Plan,12th Grade,Performance Plan
PARMALEE ELEMENTARY SCHOOL,Indian Hills,330,Kindergarten,Performance Plan,5th Grade,Performance Plan
YORK INTERNATIONAL,Thornton,331,Kindergarten,Performance Plan,12th Grade,Performance Plan
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,Canon City,332,Kindergarten,Performance Plan,8th Grade,Performance Plan
HOWBERT ELEMENTARY SCHOOL,Colorado Springs,333,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,Parker,334,Kindergarten,Performance Plan,8th Grade,Performance Plan
CHERRY VALLEY ELEMENTARY SCHOOL,Franktown,335,Kindergarten,Performance Plan,6th Grade,Performance Plan
GRANADA ELEMENTARY SCHOOL,Granada,336,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ELK CREEK ELEMENTARY SCHOOL,Pine,337,Kindergarten,Performance Plan,5th Grade,Performance Plan
SCENIC ELEMENTARY SCHOOL,Grand Junction,338,Kindergarten,Performance Plan,5th Grade,Performance Plan
BLACK ROCK ELEMENTARY,Erie,339,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GRANADA UNDIVIDED HIGH SCHOOL,Granada,340,7th Grade,Performance Plan,12th Grade,Performance Plan
PALISADE HIGH SCHOOL,Palisade,341,9th Grade,Performance Plan,12th Grade,Performance Plan
BYERS JUNIOR-SENIOR HIGH SCHOOL,Byers,342,7th Grade,Performance Plan,12th Grade,Performance Plan
BASALT HIGH SCHOOL,Basalt,343,9th Grade,Performance Plan,12th Grade,Performance Plan
DEL NORTE HIGH SCHOOL,Del Norte,344,9th Grade,Performance Plan,12th Grade,Performance Plan
DENVER CENTER FOR INTERNATIONAL STUDIES,Denver,345,6th Grade,Performance Plan,12th Grade,Performance Plan
GEORGE WASHINGTON HIGH SCHOOL,Denver,346,9th Grade,Performance Plan,12th Grade,Performance Plan
GRANT RANCH K-8 SCHOOL,Denver,347,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
GRANT RANCH K-8 SCHOOL,Denver,348,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
GUNNISON HIGH SCHOOL,Gunnison,349,9th Grade,Performance Plan,12th Grade,Performance Plan
MONTESSORI PEAKS CHARTER ACADEMY,Littleton,350,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
MONTESSORI PEAKS CHARTER ACADEMY,Littleton,351,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
STEIN ELEMENTARY SCHOOL,Lakewood,352,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ERIE HIGH SCHOOL,Erie,353,9th Grade,Performance Plan,12th Grade,Performance Plan
CENTAURUS HIGH SCHOOL,Lafayette,354,9th Grade,Performance Plan,12th Grade,Performance Plan
REVERE JUNIOR-SENIOR HIGH SCHOOL,Ovid,355,7th Grade,Performance Plan,12th Grade,Performance Plan
DELTA VISION SCHOOL,Delta,356,Kindergarten,Performance Plan,12th Grade,Performance Plan
MC MEEN ELEMENTARY SCHOOL,Denver,357,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STEELE ELEMENTARY SCHOOL,Denver,358,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GRAND JUNCTION HIGH SCHOOL,Grand Junction,359,9th Grade,Performance Plan,12th Grade,Performance Plan
JOHN F KENNEDY HIGH SCHOOL,Denver,360,9th Grade,Performance Plan,12th Grade,Improvement Plan
FLEMING HIGH SCHOOL,Fleming,361,7th Grade,Performance Plan,12th Grade,Performance Plan
ROCKY MOUNTAIN HIGH SCHOOL,Fort Collins,362,9th Grade,Performance Plan,12th Grade,Performance Plan
CRAWFORD ELEMENTARY SCHOOL,Crawford,363,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
CRAWFORD ELEMENTARY SCHOOL,Crawford,364,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
NEW VISTA HIGH SCHOOL,Boulder,365,9th Grade,Performance Plan,12th Grade,Performance Plan
CHIPETA ELEMENTARY SCHOOL,Colorado Springs,366,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MINTURN MIDDLE SCHOOL,Minturn,367,6th Grade,Performance Plan,8th Grade,Performance Plan
MORTON ELEMENTARY SCHOOL,Pueblo,368,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WELDON VALLEY JUNIOR HIGH SCHOOL,Weldona,369,7th Grade,Performance Plan,8th Grade,Performance Plan
WIGGINS HIGH SCHOOL,Wiggins,370,9th Grade,Performance Plan,12th Grade,Performance Plan
SANFORD JUNIOR/SENIOR HIGH SCHOOL,Sanford,371,7th Grade,Performance Plan,12th Grade,Performance Plan
MC CLAVE UNDIVIDED HIGH SCHOOL,Mc Clave,372,7th Grade,Performance Plan,12th Grade,Performance Plan
WIDEFIELD HIGH SCHOOL,Colorado Springs,373,9th Grade,Performance Plan,12th Grade,Performance Plan
GEORGETOWN COMMUNITY SCHOOL,Georgetown,374,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
GREEN GABLES ELEMENTARY SCHOOL,Lakewood,375,Kindergarten,Performance Plan,6th Grade,Performance Plan
TIMNATH ELEMENTARY SCHOOL,Timnath,376,Kindergarten,Performance Plan,5th Grade,Performance Plan
DURANGO HIGH SCHOOL,Durango,377,9th Grade,Performance Plan,12th Grade,Performance Plan
HOLYOKE SENIOR HIGH SCHOOL,Holyoke,378,9th Grade,Performance Plan,12th Grade,Performance Plan
WELDON VALLEY HIGH SCHOOL,Weldona,379,9th Grade,Performance Plan,12th Grade,Performance Plan
HULSTROM OPTIONS K-8 SCHOOL,Northglenn,380,Kindergarten,Performance Plan,8th Grade,Performance Plan
ERIE MIDDLE SCHOOL,Erie,381,6th Grade,Performance Plan,8th Grade,Performance Plan
CENTER HIGH SCHOOL,Center,382,9th Grade,Performance Plan,12th Grade,Performance Plan
TOLLGATE ELEMENTARY SCHOOL,Aurora,383,Kindergarten,Performance Plan,5th Grade,Performance Plan
EAGLE VALLEY HIGH SCHOOL,Gypsum,384,9th Grade,Performance Plan,12th Grade,Performance Plan
SAND CREEK HIGH SCHOOL,Colorado Springs,385,9th Grade,Performance Plan,12th Grade,Performance Plan
PLATEAU VALLEY HIGH SCHOOL,Collbran,386,9th Grade,Performance Plan,12th Grade,Performance Plan
RYE HIGH SCHOOL,Rye,387,9th Grade,Performance Plan,12th Grade,Performance Plan
SUMMIT HIGH SCHOOL,Frisco,388,9th Grade,Performance Plan,12th Grade,Performance Plan
MONUMENT CHARTER ACADEMY,Monument,389,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
RUNYON ELEMENTARY SCHOOL,Littleton,390,Kindergarten,Performance Plan,5th Grade,Performance Plan
ELDORADO K-8 SCHOOL,Superior,391,Kindergarten,Performance Plan,8th Grade,Performance Plan
GOLD CAMP ELEMENTARY SCHOOL,Colorado Springs,392,Kindergarten,Performance Plan,6th Grade,Performance Plan
HORIZON HIGH SCHOOL,Brighton,393,9th Grade,Performance Plan,12th Grade,Performance Plan
HIGH PLAINS ELEMENTARY SCHOOL,Greenwood Village,394,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RED SANDSTONE ELEMENTARY SCHOOL,Vail,395,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MIAMI-YODER SENIOR HIGH SCHOOL,Rush,396,9th Grade,Performance Plan,12th Grade,Performance Plan
MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,Aurora,397,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRUSH HIGH SCHOOL,Brush,398,9th Grade,Performance Plan,12th Grade,Performance Plan
KOHL ELEMENTARY SCHOOL,Broomfield,399,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LAKE COUNTY HIGH SCHOOL,Leadville,400,9th Grade,Performance Plan,12th Grade,Performance Plan
TARVER ELEMENTARY SCHOOL,Thornton,401,Kindergarten,Performance Plan,5th Grade,Performance Plan
COYOTE CREEK ELEMENTARY SCHOOL,Highlands Ranch,402,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
VANDERHOOF ELEMENTARY SCHOOL,Arvada,403,Kindergarten,Performance Plan,6th Grade,Performance Plan
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,Joes,404,7th Grade,Performance Plan,12th Grade,Performance Plan
PEABODY ELEMENTARY SCHOOL,Centennial,405,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MEEKER ELEMENTARY SCHOOL,Meeker,406,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EADS HIGH SCHOOL,Eads,407,9th Grade,Performance Plan,12th Grade,Performance Plan
YUMA HIGH SCHOOL,Yuma,408,9th Grade,Performance Plan,12th Grade,Performance Plan
AKRON HIGH SCHOOL,Akron,409,9th Grade,Performance Plan,12th Grade,Performance Plan
MONTE VISTA SENIOR HIGH SCHOOL,Monte Vista,410,9th Grade,Performance Plan,12th Grade,Performance Plan
YALE ELEMENTARY SCHOOL,Aurora,411,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FLATIRONS ELEMENTARY SCHOOL,Boulder,412,Kindergarten,Performance Plan,5th Grade,Performance Plan
WHEAT RIDGE HIGH SCHOOL,Wheat Ridge,413,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SURFACE CREEK VISION SCHOOL,Cedaredge,414,Kindergarten,Performance Plan,12th Grade,Performance Plan
CHERRY CREEK CHARTER ACADEMY,Greenwood Village,415,Kindergarten,Performance Plan,8th Grade,Performance Plan
MIDDLE PARK HIGH SCHOOL,Granby,416,9th Grade,Performance Plan,12th Grade,Performance Plan
POUDRE HIGH SCHOOL,Fort Collins,417,9th Grade,Performance Plan,12th Grade,Performance Plan
SAND CREEK ELEMENTARY SCHOOL,Highlands Ranch,418,Kindergarten,Performance Plan,6th Grade,Performance Plan
THE DA VINCI ACADEMY SCHOOL,Colorado Springs,419,Kindergarten,Performance Plan,5th Grade,Performance Plan
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,Bethune,420,7th Grade,Performance Plan,12th Grade,Performance Plan
FOX HOLLOW ELEMENTARY SCHOOL,Aurora,421,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
OMAR D BLAIR CHARTER SCHOOL,Denver,422,Kindergarten,Performance Plan,8th Grade,Performance Plan
OMAR D BLAIR CHARTER SCHOOL,Denver,423,Kindergarten,Performance Plan,8th Grade,Performance Plan
DEVINNY ELEMENTARY SCHOOL,Lakewood,424,Kindergarten,Performance Plan,6th Grade,Performance Plan
LIBERTY COMMON CHARTER SCHOOL,Fort Collins,425,Kindergarten,Performance Plan,9th Grade,Performance Plan
TRINIDAD HIGH SCHOOL,Trinidad,426,9th Grade,Performance Plan,12th Grade,Performance Plan
LA VETA JUNIOR-SENIOR HIGH SCHOOL,La Veta,427,7th Grade,Performance Plan,12th Grade,Performance Plan
FORT LUPTON HIGH SCHOOL,Fort Lupton,428,9th Grade,Performance Plan,12th Grade,Performance Plan
VILAS UNDIVIDED HIGH SCHOOL,Vilas,429,7th Grade,Performance Plan,12th Grade,Performance Plan
NORTH FORK VISION SCHOOL,Delta,430,Infant,Improvement Plan,12th Grade,Improvement Plan
MOUNTAIN VIEW ELEMENTARY SCHOOL,Colorado Springs,431,Kindergarten,Performance Plan,5th Grade,Performance Plan
EAGLEVIEW ELEMENTARY SCHOOL,Thornton,432,Kindergarten,Performance Plan,5th Grade,Performance Plan
CIVA CHARTER ACADEMY,Colorado Springs,433,9th Grade,Performance Plan,12th Grade,Performance Plan
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,Cripple Creek,434,7th Grade,Performance Plan,12th Grade,Performance Plan
PALMER ELEMENTARY SCHOOL,Denver,435,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MITCHELL ELEMENTARY SCHOOL,Golden,436,Kindergarten,Performance Plan,6th Grade,Performance Plan
PUEBLO WEST HIGH SCHOOL,Pueblo West,437,9th Grade,Performance Plan,12th Grade,Performance Plan
DOVE CREEK HIGH SCHOOL,Dove Creek,438,7th Grade,Performance Plan,12th Grade,Performance Plan
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,Pueblo,439,Kindergarten,Performance Plan,8th Grade,Performance Plan
SOUTH HIGH SCHOOL,Pueblo,440,9th Grade,Performance Plan,12th Grade,Performance Plan
NEVIN PLATT MIDDLE SCHOOL,Boulder,441,6th Grade,Performance Plan,8th Grade,Performance Plan
FOUNTAIN-FORT CARSON HIGH SCHOOL,Fountain,442,9th Grade,Performance Plan,12th Grade,Performance Plan
LANDMARK ACADEMY AT REUNION,Commerce City,443,Kindergarten,Performance Plan,7th Grade,Performance Plan
COLORADO SPRINGS EARLY COLLEGES,Colorado Springs,444,9th Grade,Performance Plan,12th Grade,Performance Plan
PRAIRIE CROSSING ELEMENTARY SCHOOL,Parker,445,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
FRASER VALLEY ELEMENTARY SCHOOL,Fraser,446,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RED ROCKS ELEMENTARY SCHOOL,Morrison,447,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
UTE MEADOWS ELEMENTARY SCHOOL,Littleton,448,Kindergarten,Performance Plan,6th Grade,Performance Plan
ESTES PARK K-5 SCHOOL,Estes Park,449,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ACADEMY OF CHARTER SCHOOLS,Westminster,450,Kindergarten,Performance Plan,12th Grade,Performance Plan
FORT COLLINS HIGH SCHOOL,Fort Collins,451,9th Grade,Performance Plan,12th Grade,Performance Plan
SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,Denver,452,9th Grade,Performance Plan,12th Grade,Improvement Plan
RIFLE HIGH SCHOOL,Rifle,453,9th Grade,Performance Plan,12th Grade,Performance Plan
ROARING FORK HIGH SCHOOL,Carbondale,454,9th Grade,Performance Plan,12th Grade,Performance Plan
MESA RIDGE HIGH SCHOOL,Colorado Springs,455,9th Grade,Performance Plan,12th Grade,Performance Plan
PLATTE RIVER CHARTER ACADEMY,Highlands Ranch,456,Kindergarten,Performance Plan,8th Grade,Performance Plan
WILEY JUNIOR-SENIOR HIGH SCHOOL,Wiley,457,7th Grade,Performance Plan,12th Grade,Performance Plan
COAL RIDGE HIGH SCHOOL,New Castle,458,9th Grade,Performance Plan,12th Grade,Performance Plan
SOUTHERN HILLS MIDDLE SCHOOL,Boulder,459,6th Grade,Performance Plan,8th Grade,Performance Plan
MARTIN LUTHER KING MIDDLE COLLEGE,Denver,460,6th Grade,Performance Plan,12th Grade,Improvement Plan
FREEDOM ELEMENTARY SCHOOL,Colorado Springs,461,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ATLAS PREPARATORY SCHOOL,Colorado Springs,462,5th Grade,Performance Plan,8th Grade,Performance Plan
